Sample,Treatment,Time,Batch
LK83.1,CTRL,0,2
LK83.2,CTRL,0,2
LK83.3,CTRL,0,2
LK83.4,CTRL,0,2
LK83.5,CTRL,0,2
X83.6,CTRL,0,1
Control1,CTRL,0,1
Control2,CTRL,0,1
X05.1,PLB,1,1
X05.2,PLB,1,1
X05.3,PLB,1,1
X29.1,PLB,1,1
X29.2,PLB,1,1
X29.3,PLB,1,1
X03.2,PLB,3,1
X03.3,PLB,3,1
X45.2,PLB,3,1
X47.1,PLB,3,1
X47.2,PLB,3,1
X47.3,PLB,3,1
X49.1,PLB,6,2
X49.2,PLB,6,2
X49.3,PLB,6,2
X1.1,PLB,6,2
X1.2,PLB,6,2
X1.3,PLB,6,2
X28.1,PLB,6,2
X28.2,PLB,6,2
X76.1,PLB,24,2
X76.2,PLB,24,2
X4.1,PLB,24,2
X4.2,PLB,24,2
X4.3,PLB,24,2
X25.1,PLB,24,2
X27.1,PLB,24,2
X27.2,PLB,24,2
f1,PLB,48,2
X30.1,PLB,48,2
X30.2,PLB,48,2
X41.1,PLB,48,2
X41.2,PLB,48,2
X56.1,SHAM,1,1
X56.2,SHAM,1,1
X69.1,SHAM,1,1
X82.1,SHAM,1,1
X82.2,SHAM,1,1
X21.1,SHAM,3,1
X21.3,SHAM,3,1
X81.1,SHAM,3,1
X81.2,SHAM,3,1
X80.2,SHAM,6,2
X80.3,SHAM,6,2
X28.3,SHAM,6,2
X28.4,SHAM,6,2
X51.1,SHAM,6,2
X43.1,SHAM,24,2
X43.3,SHAM,24,2
X27.3,SHAM,24,2
X43.2,SHAM,24,2
X46.1,SHAM,24,2
X46.2,SHAM,24,2
X40.1,SHAM,48,2
X40.2,SHAM,48,2
X40.3,SHAM,48,2
X72.1,SHAM,48,2
X72.2,SHAM,48,2
X11.1,TRE,1,1
X11.2,TRE,1,1
X11.3,TRE,1,1
X11.5,TRE,1,1
X11.6,TRE,1,1
X12.1,TRE,3,1
X12.6,TRE,3,1
X48.3,TRE,3,1
X67.1,TRE,3,1
X67.2,TRE,3,1
X10.1,TRE,6,2
X10.2,TRE,6,2
X10.4,TRE,6,2
X50.3,TRE,6,2
X50.2,TRE,6,2
X10.5,TRE,6,2
X10.6,TRE,6,2
X13.2,TRE,24,2
X13.3,TRE,24,2
X13.4,TRE,24,2
X13.5,TRE,24,2
X55.1,TRE,24,2
X55.2,TRE,24,2
X61.2,TRE,24,2
X61.1,TRE,24,2
X19.2,TRE,48,2
X19.5,TRE,48,2
X71.1,TRE,48,2
X71.2,TRE,48,2
X71.4,TRE,48,2
